CIK,Name
814679,ADVANCED SERIES TRUST
1301708,Allianz Variable Insurance Products Fund of Funds Trust
1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST
1126087,Brighthouse Funds Trust I
710826,Brighthouse Funds Trust II
1413032,Columbia Funds Variable Series Trust II
1027263,EQ ADVISORS TRUST
356476,GREAT-WEST FUNDS INC
1532747,JACKSON VARIABLE SERIES TRUST
933691,JNL SERIES TRUST
914036,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST
887340,MAINSTAY VP FUNDS TRUST
916053,MASSMUTUAL SELECT FUNDS
928973,PRICE T ROWE VAR AN ACCT OF FIR SEC BEN LIF INS&ANN CO OF NY
928971,PRICE T ROWE VARIABLE ANNUITY ACCOUNT
711175,PRUDENTIAL SERIES FUND
1003239,SEASONS SERIES TRUST
766351,Securian Funds Trust
892538,SUNAMERICA SERIES TRUST
871839,"T. Rowe Price Balanced Fund, Inc."
902259,"T. Rowe Price Blue Chip Growth Fund, Inc."
798086,T. Rowe Price California Tax-Free Income Trust
1689311,"T. Rowe Price Capital Appreciation & Income Fund, Inc."
793347,"T. Rowe Price Capital Appreciation Fund, Inc."
910671,"T. Rowe Price Communications & Technology Fund, Inc."
949820,"T. Rowe Price Corporate Income Fund, Inc."
1600600,"T. Rowe Price Credit Opportunities Fund, Inc."
1116627,"T. Rowe Price Developing Technologies Fund, Inc."
1267862,"T. Rowe Price Diversified Mid-Cap Growth Fund, Inc."
894024,"T. Rowe Price Dividend Growth Fund, Inc."
1012968,"T. Rowe Price Equity Funds, Inc."
775688,"T. Rowe Price Equity Income Fund, Inc."
918294,"T. Rowe Price Equity Series, Inc."
1795351,"T. Rowe Price Exchange-Traded Funds, Inc."
1019286,"T. Rowe Price Financial Services Fund, Inc."
920467,"T. Rowe Price Fixed Income Series, Inc."
1520245,"T. Rowe Price Floating Rate Fund, Inc."
1571768,"T. Rowe Price Global Allocation Fund, Inc."
852254,"T. Rowe Price Global Funds, Inc."
1447346,"T. Rowe Price Global Multi-Sector Bond Fund, Inc."
1440930,"T. Rowe Price Global Real Estate Fund, Inc."
1116626,"T. Rowe Price Global Technology Fund, Inc."
779785,"T. Rowe Price GNMA Fund, Inc."
316968,"T. Rowe Price Government Money Fund, Inc."
706211,"T. Rowe Price Growth & Income Fund, Inc."
80257,"T. Rowe Price Growth Stock Fund, Inc."
1002624,"T. Rowe Price Health Sciences Fund, Inc."
754915,"T. Rowe Price High Yield Fund, Inc."
858581,"T. Rowe Price Index Trust, Inc."
1181628,"T. Rowe Price Inflation Protected Bond Fund, Inc."
1169187,"T. Rowe Price Institutional Income Funds, Inc."
1608530,"T. Rowe Price Intermediate Tax-Free High Yield Fund, Inc."
313212,"T. Rowe Price International Funds, Inc."
1120925,"T. Rowe Price International Index Fund, Inc."
918292,"T. Rowe Price International Series, Inc."
1368135,"T. Rowe Price Limited-Duration Inflation Focused Bond Fund, Inc."
887147,"T. Rowe Price Mid-Cap Growth Fund, Inc."
1012678,"T. Rowe Price Mid-Cap Value Fund, Inc."
1533490,"T. Rowe Price Multi-Sector Account Portfolios, Inc."
1707770,"T. Rowe Price Multi-Strategy Total Return Fund, Inc."
773485,"T. Rowe Price New America Growth Fund, Inc."
216907,"T. Rowe Price New Era Fund, Inc."
80248,"T. Rowe Price New Horizons Fund, Inc."
80249,"T. Rowe Price New Income Fund, Inc."
1120924,"T. Rowe Price QM U.S. Bond Index Fund, Inc."
1038469,"T. Rowe Price Quantitative Management Funds, Inc."
1486048,"T. Rowe Price Real Assets Fund, Inc."
1046404,"T. Rowe Price Real Estate Fund, Inc."
1034386,"T. Rowe Price Reserve Investment Funds, Inc."
1177017,"T. Rowe Price Retirement Funds, Inc."
819930,"T. Rowe Price Science & Technology Fund, Inc."
731890,"T. Rowe Price Short-Term Bond Fund, Inc."
75170,"T. Rowe Price Small-Cap Stock Fund, Inc."
834798,"T. Rowe Price Small-Cap Value Fund, Inc."
808303,"T. Rowe Price Spectrum Fund, Inc."
923084,"T. Rowe Price Spectrum Funds II, Inc."
795384,"T. Rowe Price State Tax-Free Funds, Inc."
912028,"T. Rowe Price Summit Funds, Inc."
912029,"T. Rowe Price Summit Municipal Funds, Inc."
1038490,"T. Rowe Price Tax-Efficient Funds, Inc."
315748,"T. Rowe Price Tax-Exempt Money Fund, Inc."
758003,"T. Rowe Price Tax-Free High Yield Fund, Inc."
202927,"T. Rowe Price Tax-Free Income Fund, Inc."
892899,"T. Rowe Price Tax-Free Intermediate Bond Fund, Inc."
730200,"T. Rowe Price Tax-Free Short-Intermediate Fund, Inc."
1681576,"T. Rowe Price Total Return Fund, Inc."
931151,"T. Rowe Price U.S. Equity Research Fund, Inc."
1462712,"T. Rowe Price U.S. Large-Cap Core Fund, Inc."
853437,"T. Rowe Price U.S. Treasury Funds, Inc."
927845,"T. Rowe Price Value Fund, Inc."
787623,TRANSAMERICA FUNDS
778207,TRANSAMERICA SERIES TRUST
837276,Voya INVESTORS TRUST
1039001,Voya PARTNERS INC
