CIK,Name
814679,ADVANCED SERIES TRUST
1301708,Allianz Variable Insurance Products Fund of Funds Trust
1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST
1061130,AMERICAN FIDELITY DUAL STRATEGY FUND INC
5007,AMERICAN FIDELITY SEPARATE ACCOUNT A
1029446,AMERICAN FIDELITY SEPARATE ACCOUNT B
1220781,AMERICAN FIDELITY SEPARATE ACCOUNT C
878467,EMPIRE FIDELITY INVESTMENTS VARIABLE ANNUITY ACCOUNT A
1297990,Empire Fidelity Investments Variable Life Account A
1027263,EQ ADVISORS TRUST
880195,FIDELITY ABERDEEN STREET TRUST
722574,FIDELITY ADVISOR SERIES I
795422,FIDELITY ADVISOR SERIES II
719451,FIDELITY ADVISOR SERIES IV
315700,FIDELITY ADVISOR SERIES VII
729218,FIDELITY ADVISOR SERIES VIII
311884,FIDELITY BEACON STREET TRUST
700859,FIDELITY BOYLSTON STREET TRUST
718891,FIDELITY CALIFORNIA MUNICIPAL TRUST
878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II
275309,FIDELITY CAPITAL TRUST
1401097,Fidelity Central Investment Portfolios II LLC
1303459,Fidelity Central Investment Portfolios LLC
354046,FIDELITY CHARLES STREET TRUST
356173,Fidelity Colchester Street Trust
205323,FIDELITY COMMONWEALTH TRUST
1364923,Fidelity Commonwealth Trust II
819118,FIDELITY CONCORD STREET TRUST
23355,FIDELITY CONGRESS STREET FUND
24238,FIDELITY CONTRAFUND
225323,FIDELITY COURT STREET TRUST
880709,FIDELITY COURT STREET TRUST II
945908,FIDELITY COVINGTON TRUST
35331,FIDELITY DESTINY PORTFOLIOS
35341,FIDELITY DEVONSHIRE TRUST
320254,FIDELITY EXCHANGE FUND
708191,FIDELITY FINANCIAL TRUST
803013,FIDELITY GARRISON STREET TRUST
702533,FIDELITY HANOVER STREET TRUST
35348,FIDELITY HASTINGS STREET TRUST
917286,FIDELITY HEREFORD STREET TRUST
751199,FIDELITY INCOME FUND /MA/
744822,FIDELITY INVESTMENT TRUST
821051,FIDELITY INVESTMENTS VARIABLE ANNUITY ACCOUNT I
819543,FIDELITY INVESTMENTS VARIABLE LIFE ACCOUNT I
61397,FIDELITY MAGELLAN FUND
357057,FIDELITY MASSACHUSETTS MUNICIPAL TRUST
1714560,Fidelity Master Portfolios LLC
1562565,Fidelity Merrimack Street Trust
276516,FIDELITY MONEY MARKET TRUST
707823,FIDELITY MT VERNON STREET TRUST
35373,FIDELITY MUNICIPAL TRUST
880799,FIDELITY MUNICIPAL TRUST II
718581,FIDELITY NEW YORK MUNICIPAL TRUST
878663,FIDELITY NEW YORK MUNICIPAL TRUST II
704207,Fidelity Newbury Street Trust
28540,FIDELITY OXFORD STREET TRUST
1586462,Fidelity Oxford Street Trust II
278001,FIDELITY PHILLIPS STREET TRUST
81205,FIDELITY PURITAN TRUST
1022695,FIDELITY REVERE STREET TRUST
1265551,FIDELITY RUTLAND SQUARE TRUST
1364924,Fidelity Rutland Square Trust II
35315,FIDELITY SALEM STREET TRUST
215829,FIDELITY SCHOOL STREET TRUST
754510,FIDELITY SECURITIES FUND
320351,FIDELITY SELECT PORTFOLIOS
225322,FIDELITY SUMMER STREET TRUST
35402,FIDELITY TREND FUND
35330,FIDELITY UNION STREET TRUST
880797,FIDELITY UNION STREET TRUST II
859766,FIDELITY VARIABLE ACCOUNT II OF MONARCH LIFE INSURANCE CO
797461,FIDELITY VARIABLE ACCOUNT OF MONARCH LIFE INSURANCE CO
726352,FIDELITY VARIABLE ANNUITY ACCOUNT /IA/
933691,JNL SERIES TRUST
914036,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST
933666,LPLA SEPARATE ACCOUNT ONE
887340,MAINSTAY VP FUNDS TRUST
1065753,NATIONWIDE VL SEPARATE ACCOUNT-D
1314414,Northern Lights Fund Trust
1375839,Old Mutual Financial Network Separate Account VA
911375,PARAGON SEPARATE ACCOUNT C
892538,SUNAMERICA SERIES TRUST
823535,Variable Insurance Products Fund V
1039001,Voya PARTNERS INC
